Aeroporto Anaa, Anaa, Polinésia Francesa
Aeroporto Likoma, Likoma Island, Malauí
Lizard Island, Austrália
Aeroporto Lodja, Lodja, República Democrática do Congo
Ljugarn, Gotland, Suécia
Ljubljana, Mestna Obcina Ljubljana, Eslovénia
Aeroporto Larantuka, Larantuka, Indonésia
Aeroporto Lakeba, Lakeba, Fiji
Aeroporto Lekana, Lekana, Congo
Aeroporto Lakeland Downs, Lakeland Downs, Austrália
Aeroporto Banak, Lakselv, Noruega
Aeroporto Leknes, Leknes, Noruega
Aeroporto Amausi, Lucknow, Índia
Aeroporto Las Khoreh, Las Koreh, Somália
Aeroporto Lake Rudolf, Lake Rudolf, Quênia
Aeroporto Lake Manyara, Lake Manyara, Tanzânia
Aeroporto RAF Lakenheath, Brandon, Reino Unido
La Llagone, Languedoc-Roussillon, França
Llambí Campbell, Santa Fe, Argentina
Tihuatlan, Veracruz-Llave, México
Orizaba, Veracruz-Llave, México
Misantla, Veracruz-Llave, México
Llanca, Catalunya, Espanha
Llavallol, Buenos Aires, Argentina
Punta de los Llanos, La Rioja, Argentina
Lerida, Catalunya, Espanha
Llera de Canales, Tamaulipas, México
Aeroporto Chillagoe, Chillagoe, Austrália
Aeroporto Lalibela, Lalibella, Etiópia
Saint-Jean-de-llle-dOrleans, Quebeque, Canadá
Aeroporto Long Lama, Long Lama, Malásia
Aeroporto Kelila, Kelila, Indonésia
Vall-llobrega, Catalunya, Espanha
El Prat de Llobregat, Catalunya, Espanha
Cornella de Llobregat, Catalunya, Espanha
Lloydminster, Canadá
Lloret De Mar, Catalunya, Espanha
Aeroporto Linda Downs, Linda Downs, Austrália
Aeroporto Internacional Kumuzu, Lilongwe, Malauí
Aeroporto Lake Minchumina, Lake Minchumina, Estados Unidos
Aeroporto Salima, Salima, Malauí
Aeroporto Lamacarena, La Macarena, Colômbia
Aeroporto Arnage, Le Mans, França
Aeroporto Lamassa, Lamassa, Papua-Nova Guiné
Aeroporto Lumi, Lumi, Papua-Nova Guiné
Aeroporto Lae Island, Lae Island, Ilhas Marshall
Aeroporto Federal (Valle Del Fuerte), Los Mochis, México
Aeroporto Limbang, Limbang, Malásia
Aeroporto Lampedusa, Lampedusa, Itália
Aeroporto Marsa Brega, Marsa Brega, Líbia Árabe Jamahiriya
Aeroporto Lime Acres, Lime Acres, África do Sul
Aeroporto Kingsley Field, Klamath Falls, Estados Unidos
Aeroporto Lake Murray, Lake Murray, Papua-Nova Guiné
Aeroporto Palma, Palma, Moçambique
Aeroporto Lamen Bay, Lamen Bay, Vanuatu
Aeroporto Lengbati, Lengbati, Papua-Nova Guiné
Aeroporto Lonorore, Londrore, Vanuatu
Aeroporto Munbil, Munbil, Papua-Nova Guiné
Aeroporto Lese, Lese, Papua-Nova Guiné
Aeroporto Lake Nash, Lake Nash, Austrália
Aeroporto Lincoln, Lincoln, Estados Unidos
Aeroporto Langimar, Langimar, Papua-Nova Guiné
Aeroporto Leonora, Leonora, Austrália
Aeroporto Loani, Loani, Papua-Nova Guiné
Aeroporto Lancaster, Lancaster, Estados Unidos
Aeroporto Lihir Island, Londolovit, Papua-Nova Guiné
Aeroporto Smolensk, Smolensk, Rússia
Aeroporto Lanai City, Lanai City, Estados Unidos
Aeroporto Blue Danube, Linz, Áustria
Loani, Papua-Nova Guiné
Loanda, Parana, Brasil
Lobatze, Botsuana
Lobato, Parana, Brasil
Loberia, Buenos Aires, Argentina
Empalme Lobos, Buenos Aires, Argentina
Eleodoro Lobos, San Luis, Argentina
Lobos, Buenos Aires, Argentina
La Lobera, San Luis Potosí, México
Lock, South Australia, Austrália
Lockhart Rivers, Austrália
Lochau, Vorarlberg, Áustria
Locarno, Cantone Ticino, Suíça
Cascade Locks, Oregon, Estados Unidos
Lock Haven, Pensilvânia, Estados Unidos
Lockport, Ilinóis, Estados Unidos
Lochgilphead, Escócia, Reino Unido
Lods, Franche-Comté, França
Lodar, Muhafazat Abyan, Iêmen
Tuli Lodge, Botsuana
Taku Lodge, Alasca, Estados Unidos
Mara Lodges, Quênia
Lodwar, Rift Valley, Quênia
Tahneta Pass Lodge, Alasca, Estados Unidos
Brooks Lodge, Alasca, Estados Unidos
Loei, Changwat Loei, Tailândia
Loen, Sogn og Fjordane Fylke, Noruega
Foya, Lofa, Libéria
Voinjama, Lofa, Libéria
Lofthus, Hordaland Fylke, Noruega
Logronho, La Rioja, Espanha
Moundou, Logone Occidental Region, Chade
Logroño, Santa Fe, Argentina
Logan, Utah, Estados Unidos
Aeroporto Camilo Ponce Enríquez, Loja, Equador
Aeroporto Lohegaon, Poona, Índia
Nantes, Region Pays de la Loire, França
Loipersdorf bei Fuerstenfeld, Steiermark, Áustria
Les Sables, Region Pays de la Loire, França
La Chapelle-sur-Erdre, Region Pays de la Loire, França
Loisirs SA, França
Loikaw, Kayah, Mianmar [Birmânia]
La Roche, Region Pays de la Loire, França
Angers, Region Pays de la Loire, França
Macara, Loja, Equador
Loja, Loja, Equador
Aeroporto Lodwar, Lodwar, Quênia
Koulamoutou, Ogooue-Lolo, Gabão
Mandji, Ogooue-Lolo, Gabão
Milão, Lombardia, Itália
Como, Lombardia, Itália
Sirmione, Lombardia, Itália
Brescia, Lombardia, Itália
Bérgamo, Lombardia, Itália
Lompoc, Califórnia, Estados Unidos
Loma Verde, Buenos Aires, Argentina
La Loma, Camaguey, Cuba
Londrina, Parana, Brasil
Londres, Inglaterra, Reino Unido
Long Beach, Califórnia, Estados Unidos
Stella Maris, Long Island, Bahamas
Longana, Vanuatu
Long Island, Nova Iorque, Estados Unidos
Vinh Long, Tinh Vinh Long, Vietname
London, Ontário, Canadá
Useless Loop, Austrália
Sioux Lookout, Canadá
Point Lookout, Missouri, Estados Unidos
Koke Kathiem / Lop Buri, Tailândia
Lopez de Micay, Cauca, Colômbia
Lopez, Washington, Estados Unidos
Vicente Lopez, Buenos Aires, Argentina
Picada Gobernador Lopez, Misiones, Argentina
Ciudad Lopez Mateos, México, México
Puerto Lopez, Manabí, Equador
Aeroporto Lobatse, Lobatze, Botsuana
Lorena, São Paulo, Brasil
Lora Lai, Paquistão
Lorica, Córdoba, Colômbia
Lorient, Bretanha, França
Loreto, Zacatecas, México
Loreto, Baixa Califórnia do Sul, México
Lords Cove, Nova Brunswick, Canadá
Loring, Alasca, Estados Unidos
Los Angeles, Califórnia, Estados Unidos
San Martin de los Andes, Neuquén, Argentina
Paso de los Libres, Corrientes, Argentina
Samedan / St. Moritz, Kanton Graubunden, Suíça
Pescara, Abruzzo, Itália
Puerto Montt, Região dos Lagos, Chile
Puerto Varas, Região dos Lagos, Chile
Los Roques, Venezuela
Lotusvale, Austrália
São Lourenço, Minas Gerais, Brasil
Lourdes, Midi-Pirineus, França
Riviera de São Lourenço, São Paulo, Brasil
Louisville, Kentucky, Estados Unidos
Sao Lourenco da Mata, Pernambuco, Brasil
Nova Orleans, Louisiana, Estados Unidos
Louisa, Virginia, Estados Unidos
St. Louis, Missouri, Estados Unidos
Lovelock, Nevada, Estados Unidos
Loventue, La Pampa, Argentina
Loveland, Colorado, Estados Unidos
Hanôver, Land Niedersachsen, Alemanha
Show Low, Arizona, Estados Unidos
Lower Hutt, Wellington, Nova Zelândia
Lowai, Papua-Nova Guiné
Borkum, Land Niedersachsen, Alemanha
Nordholz, Land Niedersachsen, Alemanha
Norden, Land Niedersachsen, Alemanha
Buchholz (Lower Saxony), Niedersachsen, Alemanha
Loyangalani, Quênia
Lozorno, Bratislavsky kraj, Eslováquia
Aeroporto Gran Canaria, Las Palmas de Gran Canaria, Espanha
Aeroporto El Alto, La Paz, Bolívia
Aeroporto La Pedrera, La Pedrera, Colômbia
Aeroporto Heliport, Lochgilphead, Reino Unido
Aeroporto Linkoping, Linkoping, Suécia
Aeroporto Lipetsk, Lipetsk, Rússia
Aeroporto Liverpool John Lennon, Liverpool, Reino Unido
Aeroporto Lamap, Lamap, Vanuatu
Aeroporto Lappeenranta, Lappeenranta, Finlândia
Aeroporto Luang Prabang, Luang Prabang, República Popular Democrática do Laos
Aeroporto Lopez Island, Lopez, Estados Unidos
Aeroporto Lampang, Lampang, Tailândia
Aeroporto Long Apung, Long Apung, Indonésia
Aeroporto Liepaja, Liepaja, Letónia
Aeroporto Loudes, Le Puy, França
Aeroporto Puerto Leguizamo, Puerto Leguizam, Colômbia
Aeroporto Qala Nau, Qala-Nau, Afeganistão
Aeroporto Larisa, Larisa, Grécia
Aeroporto Leribe, Leribe, Lesoto
Aeroporto R.A.F., Laarbruch, Alemanha
Aeroporto Internacional Laredo, Laredo, Estados Unidos
Aeroporto Longreach, Longreach, Austrália
Aeroporto Lora Lai, Lora Lai, Paquistão
Aeroporto Laleu, La Rochelle, França
Aeroporto Niamtougou, Niamtougou / Lama Kara, Togo
Aeroporto Internacional Casa de Campo, La Romana, República Dominicana
Aeroporto Leros, Leros, Grécia
Aeroporto Lann Bihoue, Lorient, França
Aeroporto Municipal, Las Cruces, Estados Unidos
Aeroporto Losuia, Losuia, Papua-Nova Guiné
Aeroporto La Florida, La Serena, Chile
Aeroporto Municipal, La Crosse, Estados Unidos
Aeroporto Lashio, Lashio, Mianmar [Birmânia]
Aeroporto Sumburgh, Lerwick, Reino Unido
Aeroporto Lawas, Long Semado, Malásia
Aeroporto Talmont, Les Sables, França
Aeroporto Josefa Camejo, Las Piedras, Venezuela
Aeroporto Terre-de-Haut, Les Saintes / Terre de Haut, Guadalupe
Aeroporto Launceston, Launceston, Austrália
Aeroporto Long Sukang, Long Sukang, Malásia
Aeroporto Lhoksumawe, Lhokseumawe, Indonésia
Aeroporto Lhok Sukon, Lhok Sukon, Indonésia
Aeroporto Lismore, Lismore, Austrália
Aeroporto Losinj Arpt, Losinj, Croácia
Aeroporto Letaba, Tzaneen, África do Sul
Aeroporto Latrobe, Latrobe, Austrália
Aeroporto Lai, Lai, Chade
Aeroporto Ghadames, Ghadames, Líbia Árabe Jamahiriya
Aeroporto Leitre, Leitre, Papua-Nova Guiné
Aeroporto Langtang, Langtang, Nepal
Aeroporto Lastourville, Lastourville, Gabão
Aeroporto Lethem, Lethem, Guyana
Aeroporto London Luton, Londres, Reino Unido
Aeroporto Loreto, Loreto, México
Aeroporto Lyndhurst, Lyndhurst, Austrália
Aeroporto Le Touquet, Le Touquet, França
Aeroporto La Mole, St. Tropez, França
Aeroporto Lotusvale, Lotusvale, Austrália
Aeropuerto internacional Cotopaxi, Latacunga, Equador
Luabo, Zambezia, Moçambique
Luau, Moxico, Angola
Luang Namtha, República Popular Democrática do Laos
Luan Toro, La Pampa, Argentina
Mansa, Luapula, Zâmbia
Luan, Anhui Sheng, República Popular da China
Luang Prabang, Luang Prabang, República Popular Democrática do Laos
Luanda, Luanda, Angola
Lubbock, Texas, Estados Unidos
Lubango, Huila, Angola
Lubumbashi, Katanga, República Democrática do Congo
Lucca, Toscana, Itália
Lucas do rio Verde, Mato Grosso, Brasil
Luca, Córdoba, Argentina
St. Lucia, Santa Lúcia
Lucenec, Banskobystricky kraj, Eslováquia
Lucerna, Kanton Luzern, Suíça
Santa Lucia, Puno, Peru
Cabo San Lucas, Baixa Califórnia do Sul, México
Ludington, Michigan, Estados Unidos
Ludinghausen, Land Nordrhein-Westfalen, Alemanha
Sao Ludgero, Santa Catarina, Brasil
Ludhiana, Punjab, Índia
Luena, Moxico, Angola
Luederitz, Namíbia
Luebeck, Land Schleswig-Holstein, Alemanha
Luedenscheid, Land Nordrhein-Westfalen, Alemanha
Lufkin, Texas, Estados Unidos
Lugano, Cantone Ticino, Suíça
Lugones, Principality of Asturias, Espanha
Lugh Ganane, Somália
Lugones, Santiago del Estero, Argentina
Lugo, A Galiza, Espanha
Lugab Ville, Vanuatu
Luhansk, Ucrânia
Luis Correia, Piauí, Brasil
São Luís, Maranhão, Brasil
São Luiz do Paraitinga, São Paulo, Brasil
Luiza, Kasai-Occidental, República Democrática do Congo
San Luis, San Luis, Argentina
San Luis, Santiago de Cuba, Cuba
San Luis Potosí, San Luis Potosí, México
San Luis Obispo, Califórnia, Estados Unidos
Lujan de Cuyo, Mendoza, Argentina
Lujan, San Luis, Argentina
Santa Catalina - Dique Lujan, Buenos Aires, Argentina
Luján, Buenos Aires, Argentina
Lukla, Purwanchal, Nepal
Banja Luka, Bósnia-Herzegovina
Lukulu, Western, Zâmbia
Velikiye Luki, Pskovskaya Oblast, Rússia
Lulea, Norrbotten, Suécia
Lules, Tucumán, Argentina
Lumiar, Rio de Janeiro, Brasil
Kuala Lumpur, Kuala Lumpur, Malásia
Lumberton, Carolina do Norte, Estados Unidos
Lumi, West Sepik, Papua-Nova Guiné
Puerto Lumbreras, Region de Murcia, Espanha
Lumid Pau, Guyana
Lumb, Buenos Aires, Argentina
Lumbala, Angola
Lunahuaná, Lima, Peru
Cayo Media Luna, Ciego de Avila, Cuba
Sauce de Luna, Entre Rios, Argentina
Media Luna, Granma, Cuba
Liborio Luna, San Luis, Argentina
Valle de la Luna, San Juan, Argentina
Kasongo Lunda, Congo
Lunyuk, Provinsi Nusa Tenggara Barat, Indonésia
Luozi, Congo
Luoyang, Henan Sheng, República Popular da China
Lupin, Canadá
Lupionopolis, Parana, Brasil
Luque, Córdoba, Argentina
Pedro Luro, Buenos Aires, Argentina
Lusambo, República Democrática do Congo
Lusikisiki, Eastern Cape, África do Sul
Lusanga, Congo
Lusk, Wyoming, Estados Unidos
Lusaka, Lusaka, Zâmbia
Luster, Sogn og Fjordane Fylke, Noruega
Lutherstadt Eisleben, Land Sachsen-Anhalt, Alemanha
Lutsk, Ucrânia
Aeroporto Laura, Laura, Austrália
Luvianos, México, México
Luwuk, Indonésia
Luxi, Yunnan Sheng, República Popular da China
Lux, Borgonha, França
Luxor, Muhafazat al Uqsur, Egito
Luxemburgo, de Luxembourg, Luxemburgo
Findel, de Luxembourg, Luxemburgo
Luziânia, Goiás, Brasil
Santa Luzia, Minas Gerais, Brasil
Lucerna, Kanton Luzern, Suíça
Luzon, Filipinas
Santa Luzia, Paraíba, Brasil
Villa Luzuriaga, Buenos Aires, Argentina
La Luz, Mayabeque, Cuba
Abelardo Luz, Santa Catarina, Brasil
Aeroporto Entrammes, Laval, França
Lviv, L'vivs'ka Oblast, Ucrânia
Aeroporto Laverton, Laverton, Austrália
Aeroporto Greenbrier Valley, Greenbrier, Estados Unidos
Aeroporto Lewoleba, Lewoleba, Indonésia
Aeroporto Lawn Hill, Lawn Hill, Austrália
Aeroporto Lowai, Lowai, Papua-Nova Guiné
Aeroporto Lerwick/Tingwall, Lerwick, Reino Unido
Aeroporto Gyoumri, Gyumri, Armênia
Aeroporto Snilow, Lviv, Ucrânia
Aeroporto Leeuwarden, Leeuwarden, Holanda
Aeroporto Nez Perce County Rgnl, Lewiston, Estados Unidos
Aeroporto Municipal, Lewistown, Estados Unidos
Aeroporto Lawas, Lawas, Malásia
Aeroporto Gonggar/Lhasa, Lhasa, República Popular da China
Aeroporto Luang Namtha, Luang Namtha, República Popular Democrática do Laos
Aeroporto Luxor, Luxor, Egito
Aeroporto Limnos, Lemnos, Grécia
Aeroporto Lukulu, Lukulu, Zâmbia
Lyall Harbour, Canadá
Aeroporto Little Cayman, Little Cayman, Ilhas Caiman
Lycksele, Vaesterbottens Laen, Suécia
Lydd, Inglaterra, Reino Unido
Aeroporto RAF Station, Lyneham, Reino Unido
Aeroporto Lianyungang, Lianyungang, República Popular da China
Aeroporto Preston-glenn Field, Lynchburg, Estados Unidos
Aeroporto Lunyuk, Lunyuk, Indonésia
Lymington, Inglaterra, Reino Unido
Lyneham, Inglaterra, Reino Unido
Lyndhurst, Austrália
Lynchburg, Virginia, Estados Unidos
Lynn Lake, Canadá
Kings Lynn, Reino Unido
Villa Lynch, Buenos Aires, Argentina
Lyndonville, Vermont, Estados Unidos
Lyon, Ródano-Alpes, França
Lyons, Kansas, Estados Unidos
Aeroporto Faisalabad, Faisalabad, Paquistão
Aeroporto Svalbard, Svalbard, Noruega
Aeroporto St-Exupéry, Lyon, França
Lytton, Canadá
Aeroporto Internacional London Ashford (Ferryfield), Lydd, Reino Unido
Aeroporto Luiza, Luiza, República Democrática do Congo
Aeroporto Lazaro Cardenas, Lázaro Cárdenas, México
Aeroporto Liuzhou, Liuzhou, República Popular da China
Aeroporto Luozi, Luozi, Congo
Aeroporto Luzhou, Luzhou, República Popular da China
Aeroporto Lizard Island, Lizard Island, Austrália
Malé, Maale, Maldivas
Maale Hachamisha, Israel
Petra, Muhafazat Maan, Jordânia
Shoubak, Muhafazat Maan, Jordânia
Philipsburg, Sint Maarten
Maan, Jordânia
Maastricht, Provincie Limburg, Holanda
Mabaruma, Barima-Waini Region, Guyana
Mabuiag Island, Austrália
Macaé, Rio de Janeiro, Brasil
Macapá, Amapá, Brasil
Macau, Concelho de Macau, Macau
Cachoeiras de Macacu, Rio de Janeiro, Brasil
Machu Picchu Pueblo, Cusco, Peru
Macia, Entre Rios, Argentina
Maceió, Alagoas, Brasil
Macas, Morona Santiago, Equador
Madison, Wisconsin, Estados Unidos
Puerto Madryn, Chubut, Argentina
Madrid, Comunidad de Madrid, Espanha
Madaba, Muhafazat Madaba, Jordânia
Madoc, Ontário, Canadá
Madurai, Índia
Madang, Madang, Papua-Nova Guiné
Funchal, Madeira, Portugal
Maewo, Vanuatu
Mae Rim, Chiang Mai, Tailândia
Mae Hong Son, Tailândia
Asmara, Maekel Region, Eritreia
Mae Sot, Changwat Tak, Tailândia
Mafra, Santa Catarina, Brasil
Mafraq, Jordânia
Mafia Island, Tanzânia
Mafeteng, Mafeteng, Lesoto
Puerto Natales, Magallanes, Chile
Punta Arenas, Magallanes, Chile
Magwe, Mianmar [Birmânia]
Mage, Rio de Janeiro, Brasil
Orlando, Flórida, Estados Unidos
Torres del Paine, Magallanes, Chile
Magadan, Rússia
Santa Marta, Magdalena, Colômbia
Mahe, Ilhas Seychelles
Maó, Espanha
Mahilyow, Bielo-Rússia
Mahanoro, Madagáscar
Bombaim, Maharashtra, Índia
Bangkok, Krung Thep Mahanakhon, Tailândia
Mahahual, Quintana Roo, México
Mahdia, Gouvernorat de Mahdia, Tunísia
Chiang Mai, Tailândia
Maio, Maio, Cabo Verde
Mogúncia, Rheinland-Pfalz, Alemanha
Palma de Maiorca, Illes Balears, Espanha
Maipú, Mendoza, Argentina
Mairi, Bahia, Brasil
Maipu, Buenos Aires, Argentina
Mairipora, São Paulo, Brasil
Majma, Arábia Saudita
Majuro, Majuro Atoll, Ilhas Marshall
Majkin, Ilhas Marshall
Makkah, Makkah, Arábia Saudita
Makin, Kiribati
Makung, Taiwan
Makoua, Congo
Makale, Tigray Region, Etiópia
Makemo, Polinésia Francesa
Makokola, Malauí
Makallé, Chaco, Argentina
Malé, Maale, Maldivas
Punta del Este, Maldonado, Uruguai
Maldonado, Maldonado, Uruguai
Málaga, Andaluzia, Espanha
Malta, Malta
Palma de Maiorca, Illes Balears, Espanha
Malay, Western Visayas, Filipinas
Stanley, Ilhas Malvinas
Mamfe, South-West Region, Camarões
Mammoth Lakes, Califórnia, Estados Unidos
Mamai, Central, Papua-Nova Guiné
Mamuju, Provinsi Sulawesi Barat, Indonésia
Mamburao, Mimaropa, Filipinas
Mamanguape, Paraíba, Brasil
Mamaguita, Buenos Aires, Argentina
Sao Mamede, Paraíba, Brasil
Manaus, Amazonas, Brasil
Manhattanville, Nova Iorque, Estados Unidos
Manhuacu, Minas Gerais, Brasil
Manchester, Inglaterra, Reino Unido
Manila, National Capital Region, Filipinas
Manhattan, Kansas, Estados Unidos
Mangaratiba, Rio de Janeiro, Brasil
Manta, Manabí, Equador
Maó, Espanha
Maota, Samoa
Mao, Kanem Region, Chade
Maple Ridge, Colúmbia Britânica, Canadá
Maputo, Cidade de Maputo, Moçambique
Maple Shade, Nova Jersey, Estados Unidos
Maple Bay, Canadá
Mapoda, Papua-Nova Guiné
Mapua, New Ireland, Papua-Nova Guiné
Maquinchao, Rio Negro, Argentina
Maringá, Parana, Brasil
São Luís, Maranhão, Brasil
Marechal Deodoro, Alagoas, Brasil
Lençois Maranheses, Maranhão, Brasil
Marília, São Paulo, Brasil
Marrakech, Marrakech-Tensift-Al Haouz, Marrocos
Maragogi, Alagoas, Brasil
Maraú, Bahia, Brasil
Varsóvia, Voivodato de Masóvia, Polónia
Masa, Morobe, Papua-Nova Guiné
Masirah, Omã
Maseru, Maseru, Lesoto
Massawa, Eritreia
Framingham, Massachusetts, Estados Unidos
Cambridge, Massachusetts, Estados Unidos
Boston, Massachusetts, Estados Unidos
Mata de São Joao, Bahia, Brasil
Campo Grande, Mato Grosso do Sul, Brasil
Matao, São Paulo, Brasil
Bonito, Mato Grosso do Sul, Brasil
São Mateus, Espírito Santo, Brasil
Cuiabá, Mato Grosso, Brasil
Chapada dos Guimarães, Mato Grosso, Brasil
Matinhos, Parana, Brasil
Visconde de Mauá, Rio de Janeiro, Brasil
Mauke, Ilhas Cook
Mau a, São Paulo, Brasil
Maues, Amazonas, Brasil
Maussac, Lemosín, França
Ca Mau, Tinh Ca Mau, Vietname
Mauá, São Paulo, Brasil
Maun, North West, Botsuana
Maves, Amazonas, Brasil
Mavillette, Nova Escócia, Canadá
Aeroporto Mawella Lagoon, Diwan of Royal Court, Omã
Maxaranguape, Rio Grande do Norte, Brasil
Maxton, Carolina do Norte, Estados Unidos
Mayo, Canadá
Mayagüez, Porto Rico
Mayport, Flórida, Estados Unidos
Riviera Maya, Quintana Roo, México
Cape May, Nova Jersey, Estados Unidos
Rio Mayo, Chubut, Argentina
Mayaguana, Bahamas
Mayoumba, Nyanga, Gabão
Maza, Buenos Aires, Argentina
Varsóvia, Voivodato de Masóvia, Polónia
Mazatepec, Morelos, México
Villa Mazán, La Rioja, Argentina
Mazamitla, Jalisco, México
Mazatlan, Sinaloa, México
Mazar i Sharif, Afeganistão
Profesor Salvador Mazza, Salta, Argentina
Mbambanakira, Ilhas Salomão
Mbala, Northern, Zâmbia
Mbabane, Hhohho, Suazilândia
Mbandaka, Equateur, República Democrática do Congo
Mbanza Congo, Angola
Mbarara, Western Region, Uganda
Aeroporto Marble Bar, Marble Bar, Austrália
Aeroporto Mbigou, Mbigou, Gabão
Aeroporto Internacional Mafikeng, Mmabatho, África do Sul
Mbeya, Mbeya Region, Tanzânia
Aeroporto Mount Buffalo, Mt. Buffalo, Austrália
Aeroporto Maryborough, Maryborough, Austrália
Mbigou, Ngounie, Gabão
Aeroporto Internacional Sangster, Montego Bay, Jamaica
Aeroporto Blacker, Manistee, Estados Unidos
Aeroporto Mkambati, Mkambati, África do Sul
Aeroporto Mt Barnett, Mount Barnett, Austrália
Mboki, República Centro-Africana
Mbout, Gorgol, Mauritânia
Bangassou, Mbomou, República Centro-Africana
Aeroporto Mbarara, Mbarara, Uganda
Aeroporto Mbout, Mbout, Mauritânia
Aeroporto Internacional MBS, Saginaw, Estados Unidos
Aeroporto Masbate, Masbate, Filipinas
Mburucuya, Corrientes, Argentina
Mbuji-Mayi, Kasai-Oriental, República Democrática do Congo
Aeroporto Masa, Masa, Papua-Nova Guiné
Aeroporto Moorabbin, Moorabbin, Austrália
Aeroporto Internacional Maribor, Maribor, Eslovénia
McAlester, Oclaoma, Estados Unidos
McAllen, Texas, Estados Unidos
McArthur River, Austrália
McCall, Idaho, Estados Unidos
McComb, Mississípi, Estados Unidos
Aeroporto Moose Jaw / Air Vice Marshal C. M. Mcewen, Moose Jaw, Canadá
Aeroporto Merced Municipal Arpt, Merced, Estados Unidos
McGuire AFB, Nova Jersey, Estados Unidos
McGrath, Alasca, Estados Unidos
Aeroporto Machala, Machala, Equador
Aeroporto Internacional Kansas City, Kansas City, Estados Unidos
Mt Mckinley, Alasca, Estados Unidos
Fort McMurray, Canadá
McMinnville, Tennessee, Estados Unidos
Aeroporto Lewis B Wilson, Macon, Estados Unidos
Aeroporto Mcnary Field, Salem, Estados Unidos
Aeroporto Internacional Orlando, Orlando, Estados Unidos
McPherson, Kansas, Estados Unidos
Fort McPherson, Canadá
Aeroporto Miskolc, Miskolc, Hungria
McRae, Geórgia, Estados Unidos
Aeroporto Seeb, Muscat, Omã
Aeroporto Gueret (Lepaud), Montlucon, França
Aeroporto Mcarthur River, McArthur River, Austrália
Aeroporto Mason City Municipal, Mason City, Estados Unidos
Aeroporto Makhachkala, Makhachkala, Rússia
Aeroporto Maroochydore, Maroochydore, Austrália
Aeroporto Palmares, Maceió, Brasil
Aeroporto Melinda, Melinda, Belize
Aeroporto Samratulangi, Manado, Indonésia
Aeroporto Internacional Jose Maria Cordova, Medellín, Colômbia
Aeroporto Mudanjiang, Mudanjiang, República Popular da China
Aeroporto Makurdi, Makurdi, Nigéria
Aeroporto Mbandaka, Mbandaka, República Democrática do Congo
Aeroporto Internacional Mandalay, Mandalay, Mianmar [Birmânia]
Aeroporto Munduku, Munduku, Papua-Nova Guiné
Aeroporto Mindiptana, Mindiptana, Indonésia
Mar del Plata, Buenos Aires, Argentina
Aeroporto Middle Caicos, Middle Caicos, Ilhas Turks e Caicos
Aeroporto Internacional Harrisburg, Harrisburg, Estados Unidos
Aeroporto Mendi, Mendi, Papua-Nova Guiné
Aeroporto Medouneu, Medouneu, Gabão
Aeroporto Midway, Chicago, Estados Unidos
Aeroporto El Plumerillo, Mendoza, Argentina
Mealhada, Aveiro, Portugal
New Meadows, Idaho, Estados Unidos
Pitt Meadows, Canadá
Meadville, Pensilvânia, Estados Unidos
Oddor Meanchey, Camboja
Meadowbrook, Alabama, Estados Unidos
Meadow Lake, Canadá
Mebane, Carolina do Norte, Estados Unidos
Barth, Land Mecklenburg-Vorpommern, Alemanha
Warnemuende, Land Mecklenburg-Vorpommern, Alemanha
Ueckeritz, Land Mecklenburg-Vorpommern, Alemanha
Neubrandenburg, Land Mecklenburg-Vorpommern, Alemanha
Rostock, Land Mecklenburg-Vorpommern, Alemanha
Ueckermuende, Land Mecklenburg-Vorpommern, Alemanha
Grevesmuehlen, Land Mecklenburg-Vorpommern, Alemanha
Wismar, Land Mecklenburg-Vorpommern, Alemanha
Medianeira, Parana, Brasil
Medan, Sumatera Utara, Indonésia
Medina, Guanajuato, México
Medina, Estado Sucre, Venezuela
Lourdes, Midi-Pirineus, França
Medellín, Antioquia, Colômbia
Medrano, Mendoza, Argentina
Medfra, Alasca, Estados Unidos
Meekatharra, Austrália
Aeroporto Melfi, Melfi, Itália
Meghauli, Nepal
Debrecen, Hajdú-Bihar, Hungria
Megeve, Ródano-Alpes, França
Keleviz, Somogy megye, Hungria
Szombathely, Vas, Hungria
Mehamn, Finnmark Fylke, Noruega
Meishan, Sichuan Sheng, República Popular da China
Mostuejouls, Meio-Dia-Pirinéus, França
Lachapelle-Auzac, Meio-Dia-Pirinéus, França
Loudervielle, Meio-Dia-Pirinéus, França
Ambialet, Meio-Dia-Pirinéus, França
Campouriez, Meio-Dia-Pirinéus, França
Campo do Meio, Minas Gerais, Brasil
Meixian, Guangdong Sheng, República Popular da China
Cidade do México, México D.F., México
Mejit Island, Palau
Ramos Mejia, Buenos Aires, Argentina
Mekambo, Ogooue-Ivindo, Gabão
Meknes, Region de Meknes-Tafilalet, Marrocos
Mekane Selam, Amhara Region, Etiópia
Errachidia, Region de Meknes-Tafilalet, Marrocos
Erfoud, Region de Meknes-Tafilalet, Marrocos
Ksar Es Souk, Region de Meknes-Tafilalet, Marrocos
Mekoryuk, Alasca, Estados Unidos
Ilha do Mel, Parana, Brasil
Melbourne, Flórida, Estados Unidos
Melo, Córdoba, Argentina
Melo, Departamento de Cerro Largo, Uruguai
Melilla, Melilla, Espanha
Melfi, Basilicata, Itália
Melfa, Virginia, Estados Unidos
Melbourne, Victoria, Austrália
Memphis, Tennessee, Estados Unidos
Memanbetsu, Japão
Ixtlahuacan de los Membrillos, Jalisco, México
